non_occluded_path,occluded_path,emotion_class,dataset_source,split
LFW\M-LFW-FER\train\negative\Gary_Sayler_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Gary_Sayler_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0033163.jpg,AffectNet\fear\image0033163.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09301_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09301_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0035986.jpg,AffectNet\fear\image0035986.jpg,afraid,AffectNet,train
AffectNet\fear\image0039806.jpg,AffectNet\fear\image0039806.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF27AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF27AFS.jpg,afraid,KDEF,train
AffectNet\fear\image0039135.jpg,AffectNet\fear\image0039135.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BM02AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM02AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0038852.jpg,AffectNet\fear\image0038852.jpg,afraid,AffectNet,train
AffectNet\fear\image0037888.jpg,AffectNet\fear\image0037888.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09196_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09196_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0036793.jpg,AffectNet\fear\image0036793.jpg,afraid,AffectNet,train
AffectNet\fear\image0039442.jpg,AffectNet\fear\image0039442.jpg,afraid,AffectNet,train
AffectNet\fear\image0038422.jpg,AffectNet\fear\image0038422.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AF24AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF24AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0035901.jpg,AffectNet\fear\image0035901.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Serena_Williams_0042.jpg,LFW\M-LFW-FER-masks\train\negative\Serena_Williams_0042_mask.png,afraid,LFW,train
LFW\M-LFW-FER\train\negative\Mahathir_Mohamad_0014.jpg,LFW\M-LFW-FER-masks\train\negative\Mahathir_Mohamad_0014_mask.png,afraid,LFW,train
AffectNet\fear\image0038351.jpg,AffectNet\fear\image0038351.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_07372_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_07372_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0039979.jpg,AffectNet\fear\image0039979.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Andre_Agassi_0005.jpg,LFW\M-LFW-FER-masks\train\negative\Andre_Agassi_0005_mask.png,afraid,LFW,train
LFW\M-LFW-FER\train\negative\Peter_Struck_0002.jpg,LFW\M-LFW-FER-masks\train\negative\Peter_Struck_0002_mask.png,afraid,LFW,train
LFW\M-LFW-FER\train\negative\John_Ashcroft_0014.jpg,LFW\M-LFW-FER-masks\train\negative\John_Ashcroft_0014_mask.png,afraid,LFW,train
AffectNet\fear\image0031822.jpg,AffectNet\fear\image0031822.jpg,afraid,AffectNet,train
AffectNet\fear\image0033800.jpg,AffectNet\fear\image0033800.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Colin_Powell_0181.jpg,LFW\M-LFW-FER-masks\train\negative\Colin_Powell_0181_mask.png,afraid,LFW,train
AffectNet\fear\image0037036.jpg,AffectNet\fear\image0037036.jpg,afraid,AffectNet,train
AffectNet\fear\image0031222.jpg,AffectNet\fear\image0031222.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\eval\negative\Will_Ofenheusle_0001.jpg,LFW\M-LFW-FER-masks\eval\negative\Will_Ofenheusle_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0031303.jpg,AffectNet\fear\image0031303.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF06AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF06AFS.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AF12AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF12AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0032501.jpg,AffectNet\fear\image0032501.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AF19AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF19AFS.jpg,afraid,KDEF,train
AffectNet\fear\image0037379.jpg,AffectNet\fear\image0037379.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Gerhard_Schroeder_0064.jpg,LFW\M-LFW-FER-masks\train\negative\Gerhard_Schroeder_0064_mask.png,afraid,LFW,train
AffectNet\fear\image0037629.jpg,AffectNet\fear\image0037629.jpg,afraid,AffectNet,train
AffectNet\fear\image0036017.jpg,AffectNet\fear\image0036017.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Dan_Monson_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Dan_Monson_0001_mask.png,afraid,LFW,train
KDEF\KDEF_Sorted_Resized\afraid\BF17AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF17AFS.jpg,afraid,KDEF,train
AffectNet\fear\image0035749.jpg,AffectNet\fear\image0035749.jpg,afraid,AffectNet,train
AffectNet\fear\image0036486.jpg,AffectNet\fear\image0036486.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09337_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09337_aligned.jpg,afraid,RAFDB,train
KDEF\KDEF_Sorted_Resized\afraid\AM26AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM26AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0016074.jpg,AffectNet\fear\image0016074.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Billy_Donovan_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Billy_Donovan_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0011452.jpg,AffectNet\fear\image0011452.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF35AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF35AFHL.jpg,afraid,KDEF,train
RAFDB\RAF-DB\train\2_fear\train_02837_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_02837_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0034672.jpg,AffectNet\fear\image0034672.jpg,afraid,AffectNet,train
AffectNet\fear\image0019701.jpg,AffectNet\fear\image0019701.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Colin_Powell_0178.jpg,LFW\M-LFW-FER-masks\train\negative\Colin_Powell_0178_mask.png,afraid,LFW,train
AffectNet\fear\image0035595.jpg,AffectNet\fear\image0035595.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\eval\negative\Tara_Reid_0001.jpg,LFW\M-LFW-FER-masks\eval\negative\Tara_Reid_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0008107.jpg,AffectNet\fear\image0008107.jpg,afraid,AffectNet,train
AffectNet\fear\image0033125.jpg,AffectNet\fear\image0033125.jpg,afraid,AffectNet,train
AffectNet\fear\image0034280.jpg,AffectNet\fear\image0034280.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09185_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09185_aligned.jpg,afraid,RAFDB,train
LFW\M-LFW-FER\train\negative\Gustavo_Kuerten_0002.jpg,LFW\M-LFW-FER-masks\train\negative\Gustavo_Kuerten_0002_mask.png,afraid,LFW,train
AffectNet\fear\image0035597.jpg,AffectNet\fear\image0035597.jpg,afraid,AffectNet,train
AffectNet\fear\image0035372.jpg,AffectNet\fear\image0035372.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09331_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09331_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0035181.jpg,AffectNet\fear\image0035181.jpg,afraid,AffectNet,train
AffectNet\fear\image0039187.jpg,AffectNet\fear\image0039187.jpg,afraid,AffectNet,train
AffectNet\fear\image0031919.jpg,AffectNet\fear\image0031919.jpg,afraid,AffectNet,train
AffectNet\fear\image0022891.jpg,AffectNet\fear\image0022891.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM07AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM07AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0038564.jpg,AffectNet\fear\image0038564.jpg,afraid,AffectNet,train
AffectNet\fear\image0039614.jpg,AffectNet\fear\image0039614.jpg,afraid,AffectNet,train
AffectNet\fear\image0037963.jpg,AffectNet\fear\image0037963.jpg,afraid,AffectNet,train
AffectNet\fear\image0013493.jpg,AffectNet\fear\image0013493.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF07AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF07AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0039983.jpg,AffectNet\fear\image0039983.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF31AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF31AFHL.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AM15AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM15AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\BM12AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM12AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0035633.jpg,AffectNet\fear\image0035633.jpg,afraid,AffectNet,train
AffectNet\fear\image0033443.jpg,AffectNet\fear\image0033443.jpg,afraid,AffectNet,train
AffectNet\fear\image0038544.jpg,AffectNet\fear\image0038544.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF14AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF14AFHR.jpg,afraid,KDEF,train
RAFDB\RAF-DB\train\2_fear\train_09396_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09396_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0020297.jpg,AffectNet\fear\image0020297.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Atal_Bihari_Vajpayee_0023.jpg,LFW\M-LFW-FER-masks\train\negative\Atal_Bihari_Vajpayee_0023_mask.png,afraid,LFW,train
AffectNet\fear\image0033133.jpg,AffectNet\fear\image0033133.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BM21AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM21AFHL.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\BM09AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM09AFS.jpg,afraid,KDEF,train
LFW\M-LFW-FER\train\negative\Edmund_Stoiber_0009.jpg,LFW\M-LFW-FER-masks\train\negative\Edmund_Stoiber_0009_mask.png,afraid,LFW,train
AffectNet\fear\image0033789.jpg,AffectNet\fear\image0033789.jpg,afraid,AffectNet,train
AffectNet\fear\image0028976.jpg,AffectNet\fear\image0028976.jpg,afraid,AffectNet,train
AffectNet\fear\image0039765.jpg,AffectNet\fear\image0039765.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09363_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09363_aligned.jpg,afraid,RAFDB,train
KDEF\KDEF_Sorted_Resized\afraid\AF14AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF14AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0033185.jpg,AffectNet\fear\image0033185.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Fidel_Castro_0011.jpg,LFW\M-LFW-FER-masks\train\negative\Fidel_Castro_0011_mask.png,afraid,LFW,train
LFW\M-LFW-FER\train\negative\LeBron_James_0003.jpg,LFW\M-LFW-FER-masks\train\negative\LeBron_James_0003_mask.png,afraid,LFW,train
RAFDB\RAF-DB\train\2_fear\train_08261_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_08261_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0037990.jpg,AffectNet\fear\image0037990.jpg,afraid,AffectNet,train
AffectNet\fear\image0026595.jpg,AffectNet\fear\image0026595.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM33AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM33AFS.jpg,afraid,KDEF,train
AffectNet\fear\image0040321.jpg,AffectNet\fear\image0040321.jpg,afraid,AffectNet,train
AffectNet\fear\image0030646.jpg,AffectNet\fear\image0030646.jpg,afraid,AffectNet,train
AffectNet\fear\image0035993.jpg,AffectNet\fear\image0035993.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09186_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09186_aligned.jpg,afraid,RAFDB,train
RAFDB\RAF-DB\train\2_fear\train_09261_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09261_aligned.jpg,afraid,RAFDB,train
KDEF\KDEF_Sorted_Resized\afraid\AM14AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM14AFHR.jpg,afraid,KDEF,train
LFW\M-LFW-FER\train\negative\Gerhard_Schroeder_0006.jpg,LFW\M-LFW-FER-masks\train\negative\Gerhard_Schroeder_0006_mask.png,afraid,LFW,train
KDEF\KDEF_Sorted_Resized\afraid\AF28AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF28AFS.jpg,afraid,KDEF,train
AffectNet\fear\image0036301.jpg,AffectNet\fear\image0036301.jpg,afraid,AffectNet,train
AffectNet\fear\image0036957.jpg,AffectNet\fear\image0036957.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BM19AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM19AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0036178.jpg,AffectNet\fear\image0036178.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09228_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09228_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0037035.jpg,AffectNet\fear\image0037035.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Flavia_Pennetta_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Flavia_Pennetta_0001_mask.png,afraid,LFW,train
RAFDB\RAF-DB\train\2_fear\train_09317_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09317_aligned.jpg,afraid,RAFDB,train
LFW\M-LFW-FER\train\negative\Denise_Johnson_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Denise_Johnson_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0035331.jpg,AffectNet\fear\image0035331.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BM12AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM12AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0039639.jpg,AffectNet\fear\image0039639.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF02AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF02AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\BM26AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM26AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AF31AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF31AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\BF24AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF24AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0040527.jpg,AffectNet\fear\image0040527.jpg,afraid,AffectNet,train
AffectNet\fear\image0014366.jpg,AffectNet\fear\image0014366.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AF35AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF35AFS.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AF15AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF15AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AF03AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF03AFHR.jpg,afraid,KDEF,train
LFW\M-LFW-FER\eval\negative\Vladimir_Putin_0035.jpg,LFW\M-LFW-FER-masks\eval\negative\Vladimir_Putin_0035_mask.png,afraid,LFW,train
LFW\M-LFW-FER\train\negative\Alejandro_Toledo_0004.jpg,LFW\M-LFW-FER-masks\train\negative\Alejandro_Toledo_0004_mask.png,afraid,LFW,train
AffectNet\fear\image0039973.jpg,AffectNet\fear\image0039973.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Eunice_Barber_0002.jpg,LFW\M-LFW-FER-masks\train\negative\Eunice_Barber_0002_mask.png,afraid,LFW,train
RAFDB\RAF-DB\train\2_fear\train_09289_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09289_aligned.jpg,afraid,RAFDB,train
LFW\M-LFW-FER\train\negative\Erika_Harold_0002.jpg,LFW\M-LFW-FER-masks\train\negative\Erika_Harold_0002_mask.png,afraid,LFW,train
AffectNet\fear\image0033653.jpg,AffectNet\fear\image0033653.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM33AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM33AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0038249.jpg,AffectNet\fear\image0038249.jpg,afraid,AffectNet,train
AffectNet\fear\image0037121.jpg,AffectNet\fear\image0037121.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BF32AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF32AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0037165.jpg,AffectNet\fear\image0037165.jpg,afraid,AffectNet,train
AffectNet\fear\image0020171.jpg,AffectNet\fear\image0020171.jpg,afraid,AffectNet,train
AffectNet\fear\image0026540.jpg,AffectNet\fear\image0026540.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09266_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09266_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0037603.jpg,AffectNet\fear\image0037603.jpg,afraid,AffectNet,train
AffectNet\fear\image0033785.jpg,AffectNet\fear\image0033785.jpg,afraid,AffectNet,train
AffectNet\fear\image0003146.jpg,AffectNet\fear\image0003146.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\BM26AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BM26AFHL.jpg,afraid,KDEF,train
LFW\M-LFW-FER\train\negative\Slobodan_Milosevic_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Slobodan_Milosevic_0001_mask.png,afraid,LFW,train
LFW\M-LFW-FER\train\negative\Kim_Clijsters_0009.jpg,LFW\M-LFW-FER-masks\train\negative\Kim_Clijsters_0009_mask.png,afraid,LFW,train
AffectNet\fear\image0040354.jpg,AffectNet\fear\image0040354.jpg,afraid,AffectNet,train
AffectNet\fear\image0029156.jpg,AffectNet\fear\image0029156.jpg,afraid,AffectNet,train
AffectNet\fear\image0038958.jpg,AffectNet\fear\image0038958.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM25AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM25AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AM14AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM14AFS.jpg,afraid,KDEF,train
RAFDB\RAF-DB\train\2_fear\train_09251_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09251_aligned.jpg,afraid,RAFDB,train
LFW\M-LFW-FER\train\negative\Serena_Williams_0015.jpg,LFW\M-LFW-FER-masks\train\negative\Serena_Williams_0015_mask.png,afraid,LFW,train
AffectNet\fear\image0039588.jpg,AffectNet\fear\image0039588.jpg,afraid,AffectNet,train
AffectNet\fear\image0036652.jpg,AffectNet\fear\image0036652.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09343_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09343_aligned.jpg,afraid,RAFDB,train
KDEF\KDEF_Sorted_Resized\afraid\AF22AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF22AFS.jpg,afraid,KDEF,train
AffectNet\fear\image0031475.jpg,AffectNet\fear\image0031475.jpg,afraid,AffectNet,train
AffectNet\fear\image0033206.jpg,AffectNet\fear\image0033206.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Michael_Pfleger_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Michael_Pfleger_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0036589.jpg,AffectNet\fear\image0036589.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09235_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09235_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0035775.jpg,AffectNet\fear\image0035775.jpg,afraid,AffectNet,train
AffectNet\fear\image0028759.jpg,AffectNet\fear\image0028759.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM22AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM22AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AF25AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF25AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0012007.jpg,AffectNet\fear\image0012007.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AF35AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF35AFHR.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AM30AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM30AFHL.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\BF18AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\BF18AFHR.jpg,afraid,KDEF,train
AffectNet\fear\image0022011.jpg,AffectNet\fear\image0022011.jpg,afraid,AffectNet,train
AffectNet\fear\image0031001.jpg,AffectNet\fear\image0031001.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Manuel_Jesus_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Manuel_Jesus_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0038294.jpg,AffectNet\fear\image0038294.jpg,afraid,AffectNet,train
LFW\M-LFW-FER\train\negative\Ron_Gonzales_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Ron_Gonzales_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0040746.jpg,AffectNet\fear\image0040746.jpg,afraid,AffectNet,train
AffectNet\fear\image0030680.jpg,AffectNet\fear\image0030680.jpg,afraid,AffectNet,train
AffectNet\fear\image0036839.jpg,AffectNet\fear\image0036839.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09245_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09245_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0027753.jpg,AffectNet\fear\image0027753.jpg,afraid,AffectNet,train
AffectNet\fear\image0028257.jpg,AffectNet\fear\image0028257.jpg,afraid,AffectNet,train
